finding_type,resource_type,severity,description,is_public,is_encrypted,port_exposed,business_impact_score,recommended_action,estimated_breach_cost,confidence
public_s3_bucket,s3,critical,S3 bucket open to everyone with read permissions,1,0,0,95,Enable Block Public Access on S3 bucket,500000,0.95
open_security_group,ec2,critical,Security group allows SSH from 0.0.0.0/0 (port 22),0,1,22,90,Restrict SSH to specific IP ranges,250000,0.92
unencrypted_rds,rds,high,RDS database without encryption at rest,0,0,5432,75,Enable RDS encryption using KMS,100000,0.88
public_rds,rds,critical,RDS database publicly accessible from internet,1,0,5432,85,Disable PubliclyAccessible flag in RDS,300000,0.90
unencrypted_s3,s3,high,S3 bucket missing default encryption,0,0,0,60,Enable default S3 encryption (SSE-S3 or KMS),50000,0.85
public_ec2_instance,ec2,medium,EC2 instance has public IP address,0,1,0,40,Move EC2 to private subnet with NAT,20000,0.75
open_security_group_http,ec2,medium,Security group allows HTTP on port 80 to 0.0.0.0/0,0,1,80,30,Restrict HTTP to load balancer only,10000,0.70
unencrypted_rds_backup,rds,medium,RDS automated backups not encrypted,0,0,5432,50,Enable backup encryption in RDS settings,30000,0.80
iam_root_usage,iam,critical,Root AWS account used for daily operations,1,1,0,92,Create IAM users and use those instead,200000,0.90
cloudtrail_disabled,cloudtrail,high,CloudTrail logging disabled for account,0,1,0,80,Enable CloudTrail for all API logging,75000,0.88
default_vpc_usage,vpc,medium,Using default VPC without custom security rules,0,1,0,45,Create custom VPC with proper segmentation,15000,0.72
mfa_not_enabled,iam,high,Console access without MFA enabled,0,1,0,70,Enable MFA for all IAM users,100000,0.85
public_snapshot,rds,high,RDS snapshot publicly accessible,1,0,0,65,Make RDS snapshot private and encrypted,80000,0.80
s3_versioning_disabled,s3,medium,S3 bucket versioning disabled - no recovery,0,0,0,55,Enable versioning on critical S3 buckets,40000,0.78
no_backup_plan,rds,high,RDS instance without automated backups,0,0,5432,75,Enable automated backups with 30-day retention,90000,0.84
open_security_group_rdp,ec2,critical,Security group allows RDP from 0.0.0.0/0 (port 3389),0,1,3389,88,Restrict RDP to VPN IP only,280000,0.91
lambda_no_vpc,lambda,medium,Lambda function not running in VPC,0,1,0,35,Deploy Lambda in private VPC subnet,12000,0.68
dynamodb_unencrypted,dynamodb,high,DynamoDB table without encryption,0,0,0,72,Enable DynamoDB encryption with KMS,110000,0.86
kinesis_unencrypted,kinesis,high,Kinesis stream without encryption,0,0,0,70,Enable Kinesis encryption,95000,0.83
sns_unencrypted,sns,high,SNS topic without encryption,0,0,0,68,Enable SNS topic encryption,85000,0.82
sqs_unencrypted,sqs,high,SQS queue without encryption,0,0,0,69,Enable SQS queue encryption,90000,0.83
elastic_cache_unencrypted,elasticache,high,ElastiCache cluster without encryption,0,0,6379,71,Enable ElastiCache encryption in transit and at rest,105000,0.85
public_elasticsearch,elasticsearch,critical,Elasticsearch cluster publicly accessible,1,0,9200,87,Restrict Elasticsearch to VPC access only,320000,0.89
acm_certificate_expiring,acm,high,SSL/TLS certificate expiring within 30 days,0,1,443,65,Renew ACM certificate before expiration,75000,0.81
elbv2_unencrypted,elb,medium,ALB/NLB listener using HTTP instead of HTTPS,0,0,80,38,Update listener to use HTTPS only,18000,0.74
elbv2_no_access_logs,elb,medium,Load balancer access logging disabled,0,1,443,42,Enable access logging for compliance,22000,0.76
cloudfront_no_https,cloudfront,high,CloudFront distribution allows HTTP,0,0,80,73,Enforce HTTPS and disable HTTP,120000,0.87
cloudfront_no_waf,cloudfront,medium,CloudFront not protected by AWS WAF,0,1,443,48,Enable AWS WAF on CloudFront,35000,0.79
kms_key_rotation,kms,medium,KMS key rotation disabled,0,1,0,50,Enable automatic KMS key rotation,28000,0.77
s3_bucket_logging_disabled,s3,medium,S3 bucket access logging disabled,0,0,0,52,Enable S3 bucket access logs,32000,0.75
iam_policy_too_permissive,iam,high,IAM policy with wildcard permissions (*),1,1,0,78,Create least-privilege IAM policies,130000,0.87
iam_access_key_rotation,iam,high,IAM access keys not rotated in 90 days,0,1,0,74,Rotate old access keys and delete unused,115000,0.86
security_group_no_description,ec2,low,Security group rules without description,0,1,0,15,Add descriptions to security group rules,5000,0.65
unused_security_group,ec2,low,Security group is not attached to any resources,0,1,0,12,Delete unused security groups,3000,0.60
unused_elastic_ip,ec2,low,Elastic IP allocated but not in use,0,1,0,18,Release unused Elastic IPs,8000,0.62
ami_no_backup_tags,ec2,medium,AMI images missing backup schedule tags,0,0,0,36,Add lifecycle tags to AMIs,16000,0.70
lambda_no_dead_letter,lambda,medium,Lambda function without dead-letter queue,0,1,0,32,Configure DLQ for async Lambda invocations,14000,0.67
lambda_timeout_too_high,lambda,low,Lambda function timeout set to maximum,0,1,0,20,Reduce Lambda timeout to appropriate value,7000,0.63
autoscaling_no_tags,autoscaling,low,Auto Scaling group missing mandatory tags,0,1,0,22,Add required tags to ASG,9000,0.64
rds_multi_az_disabled,rds,high,RDS instance without Multi-AZ deployment,0,1,5432,76,Enable Multi-AZ for high availability,105000,0.85
